"mu","iter","estimate","p_value","rej"
0,1,-0.235518780159033,0.794420401309549,0
0,2,0.891691683002771,0.251669394180866,0
0,3,0.122101958473098,0.878849160427048,0
0,4,-0.469444657485198,0.575037034240477,0
0,5,-0.917902002808957,0.388487562031457,0
0,6,0.768583216418722,0.378596412365073,0
0,7,0.0735312134802295,0.934216642900324,0
0,8,-0.448248870236544,0.578310839202843,0
0,9,0.253825243938961,0.788924406862921,0
0,10,1.68345133927666,0.0482747252015891,1
0,11,0.345519689505577,0.717813023459075,0
0,12,-0.555701776403156,0.605414781842859,0
0,13,0.167003128613858,0.840910585168104,0
0,14,-1.26707977672628,0.145151938397681,0
0,15,0.159838445145256,0.878194444113867,0
0,16,1.41151798586689,0.131746489751669,0
0,17,0.179727664519804,0.834322331983731,0
0,18,0.642213787648137,0.360103038961522,0
0,19,0.329008896759687,0.708407902619101,0
0,20,-0.956580391782819,0.329087020742085,0
0,21,-0.936010907316266,0.359805352267946,0
0,22,-0.51609458592242,0.548240666148045,0
0,23,-1.20118620668742,0.196735664765177,0
0,24,0.375876655424269,0.674300777575689,0
0,25,1.55324772405295,0.172453313692773,0
0,26,0.477677019309123,0.588213476278455,0
0,27,0.238747566692946,0.776895763000948,0
0,28,-1.46451994624868,0.121045881943848,0
0,29,1.29053049990847,0.248371023126049,0
0,30,1.01205084424129,0.251895879044864,0
0,31,1.59361404650631,0.117835138508661,0
0,32,-1.08462272307976,0.179903632744161,0
0,33,-0.664485048592295,0.525149360760016,0
0,34,0.6799004412594,0.547294584815623,0
0,35,0.583183597536406,0.511494825320965,0
0,36,0.446007309563429,0.536485182611719,0
0,37,-0.340267945916062,0.726821660631513,0
0,38,0.48472958224483,0.660946550571027,0
0,39,-0.50851616600058,0.486821506121482,0
0,40,0.169994861005907,0.8583336465987,0
0,41,-1.23082688680763,0.179612808444549,0
0,42,0.566477195143241,0.519622488151686,0
0,43,-0.109803562142662,0.889530334114744,0
0,44,0.258688187284851,0.742575530829884,0
0,45,-0.899678206401232,0.410218708678742,0
0,46,0.107298318440773,0.911348169415296,0
0,47,0.26451587420575,0.754442396167018,0
0,48,0.201151887858554,0.817798510058936,0
0,49,1.07381309057843,0.201974125093787,0
